               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.074114,            0.031368,            0.053576,             0.23678,             0.29454,             0.10433,            0.051185,            0.052952,            0.016649,            0.049445,            0.070216,           0.0033094,           0.0033094
                   1,            0.051246,             0.02327,             0.04863,             0.27228,             0.48044,             0.16221,             0.08774,            0.041581,            0.013723,            0.047847,            0.040084,           0.0065112,           0.0065112
                   2,            0.047195,            0.019919,            0.047557,             0.28673,             0.26098,             0.17163,            0.090538,            0.042539,            0.012894,             0.04662,           0.0098208,            0.009581,            0.009581
                   3,            0.042431,            0.018996,            0.045023,             0.44257,             0.45874,             0.32555,             0.19268,            0.036733,            0.012826,            0.042535,            0.009406,            0.009406,            0.009406
                   4,            0.039023,            0.018043,            0.039985,             0.48795,             0.54588,              0.4026,             0.23225,            0.038091,            0.013135,            0.035928,            0.009406,            0.009406,            0.009406
                   5,            0.037716,            0.018641,            0.035846,             0.50006,             0.48841,             0.38301,             0.23359,            0.035445,            0.013613,            0.038518,            0.009208,            0.009208,            0.009208
                   6,              0.0361,            0.017934,            0.033245,             0.50696,             0.53599,             0.44441,             0.27625,             0.03608,            0.013832,            0.031742,             0.00901,             0.00901,             0.00901
                   7,            0.035451,            0.017571,            0.032154,             0.47725,             0.66884,             0.53759,             0.34807,              0.0334,             0.01288,            0.030425,            0.008812,            0.008812,            0.008812
                   8,            0.034934,            0.018017,             0.03023,             0.54621,             0.66154,             0.58785,             0.37751,             0.03425,            0.012842,            0.029943,            0.008614,            0.008614,            0.008614
                   9,            0.034332,            0.018051,            0.027631,             0.51964,             0.65763,             0.54299,             0.34365,            0.034139,            0.012833,            0.031439,            0.008416,            0.008416,            0.008416
                  10,            0.033546,            0.017707,             0.02569,             0.55323,             0.67407,             0.57121,             0.35496,            0.034362,            0.012964,            0.030448,            0.008218,            0.008218,            0.008218
                  11,            0.032297,            0.017043,            0.025374,             0.59701,             0.65643,             0.59891,             0.38245,            0.033403,            0.012821,            0.028905,             0.00802,             0.00802,             0.00802
                  12,            0.032536,            0.017741,              0.0242,             0.59498,              0.6952,             0.63158,             0.41568,            0.032902,            0.013687,            0.027659,            0.007822,            0.007822,            0.007822
                  13,            0.032134,            0.016845,            0.023076,             0.53038,             0.68304,             0.64039,             0.42278,            0.032704,            0.012345,            0.023048,            0.007624,            0.007624,            0.007624
                  14,            0.031917,            0.016669,            0.022547,             0.55977,             0.64583,             0.60866,             0.40263,            0.032789,             0.01329,            0.027101,            0.007426,            0.007426,            0.007426
                  15,            0.030971,            0.016118,            0.021941,             0.58043,             0.69319,             0.65034,             0.42484,            0.033184,            0.013485,            0.028759,            0.007228,            0.007228,            0.007228
                  16,            0.030314,            0.016438,            0.021249,             0.70082,             0.63064,             0.67852,             0.45426,             0.03193,              0.0126,            0.024803,             0.00703,             0.00703,             0.00703
                  17,            0.030059,            0.016696,            0.019661,             0.66069,             0.68329,             0.68482,             0.47124,            0.030336,            0.012537,            0.025287,            0.006832,            0.006832,            0.006832
                  18,            0.030242,            0.016442,            0.019177,             0.66804,             0.66159,             0.66977,             0.45686,            0.031314,              0.0131,             0.02615,            0.006634,            0.006634,            0.006634
                  19,            0.030168,            0.017599,            0.019095,             0.62791,             0.65288,             0.67459,             0.45508,            0.031931,            0.013195,            0.020375,            0.006436,            0.006436,            0.006436
                  20,            0.029447,            0.016594,            0.018148,             0.71265,             0.66566,             0.70023,              0.4781,            0.031311,            0.012839,            0.025084,            0.006238,            0.006238,            0.006238
